Window_Size,Overlap,Segment_Size,Dim,Dropout,Emb_Dropout,Layer_Dropout,Total_Test_Accuracy,Total_Test_Variance,Subject_1_Accuracy,Subject_2_Accuracy,Subject_3_Accuracy,Subject_4_Accuracy,Subject_5_Accuracy,Subject_6_Accuracy,Subject_7_Accuracy,Subject_8_Accuracy,Subject_9_Accuracy,Subject_1_Variance,Subject_2_Variance,Subject_3_Variance,Subject_4_Variance,Subject_5_Variance,Subject_6_Variance,Subject_7_Variance,Subject_8_Variance,Subject_9_Variance
512,500,2,128,0.1,0.1,0.2,0.7709951996803284,0.176561660395362,0.7302631735801697,0.5930612087249756,0.5799999833106995,0.9557003378868103,0.7098901271820068,0.8318725228309631,0.7538793087005615,0.8617391586303711,0.8714285492897034,0.1969788781163435,0.24133960849645983,0.24359999999999998,0.04233721312692974,0.20594614177031761,0.13986063713274394,0.18554529577883472,0.11914480151228733,0.11204081632653061
512,500,5,256,0.1,0.2,0.2,0.7671127915382385,0.17865070077523637,0.7092105150222778,0.5853061079978943,0.5765217542648315,0.9527687430381775,0.7311355471611023,0.8366534113883972,0.751724123954773,0.8539130687713623,0.8510203957557678,0.2062309556786704,0.2427228654727197,0.24414442344045376,0.045000477458646784,0.19657636624669594,0.13666449738893036,0.18663495838287752,0.12474555765595463,0.12678467305289462
512,500,5,128,0.2,0.1,0.2,0.7633645534515381,0.18063910359072263,0.7105263471603394,0.5873469114303589,0.5504347681999207,0.9511400461196899,0.7362637519836426,0.8338645696640015,0.7521551847457886,0.8469565510749817,0.8432652950286865,0.2056786703601108,0.24237051228654727,0.24745633270321357,0.04647264161953971,0.19417944692669964,0.13853446770686176,0.18641776902497031,0.12962117202268433,0.1321689296126614
512,500,5,128,0.1,0.1,0.1,0.7622489929199219,0.18122546410541762,0.6877192854881287,0.5746938586235046,0.5830435156822205,0.956026017665863,0.7102563977241516,0.8410358428955078,0.7508620619773865,0.8426086902618408,0.8571428656578064,0.21476146506617422,0.2444208246563932,0.2431037807183365,0.04204023384863501,0.2057922419460881,0.13369454453103916,0.1870682223543401,0.13261928166351605,0.12244897959183673
512,500,2,128,0.1,0.2,0.2,0.7622043490409851,0.1812488667546381,0.7017543911933899,0.5840816497802734,0.5421739220619202,0.951791524887085,0.7395604252815247,0.8458167314529419,0.745258629322052,0.8469565510749817,0.8416326642036438,0.2092951677439212,0.2429302790503957,0.24822136105860113,0.045884412566711566,0.19261079579760898,0.130410787130363,0.18984820897740784,0.12962117202268433,0.13328713036234902
512,500,5,256,0.2,0.2,0.2,0.7621597647666931,0.18127226542144587,0.7013158202171326,0.5902040600776672,0.5443478226661682,0.9534201622009277,0.7139194011688232,0.8422310948371887,0.7534482479095459,0.852173924446106,0.8510203957557678,0.20947195290858725,0.2418632236568097,0.24803327032136108,0.04441012636738851,0.20423848434837447,0.13287789082712972,0.18576397146254453,0.12597353497164462,0.12678467305289465
512,500,5,128,0.2,0.2,0.1,0.7617136240005493,0.18150603305681454,0.7114035487174988,0.5759183764457703,0.5539130568504333,0.9495114088058472,0.7263736128807068,0.8374502062797546,0.7478448152542114,0.8565217852592468,0.8399999737739563,0.2053085564789166,0.24423640149937528,0.24709338374291115,0.04793950068435741,0.1987549812824538,0.1361273630577292,0.18857294143876338,0.1228922495274102,0.1344
512,500,2,256,0.1,0.2,0.2,0.76050865650177,0.18213521645708222,0.7210526466369629,0.5930612087249756,0.5400000214576721,0.95244300365448,0.7194139361381531,0.8155378699302673,0.7534482479095459,0.8547826409339905,0.8387755155563354,0.20113573407202218,0.24133960849645983,0.2484,0.045295334698511394,0.20185753196742204,0.1504358660973635,0.18576397146254453,0.12412930056710776,0.1352311536859642
512,500,5,256,0.2,0.2,0.1,0.7599731683731079,0.1824139216392567,0.7092105150222778,0.5869387984275818,0.5343478322029114,0.9550488591194153,0.7124541997909546,0.822310745716095,0.7620689868927002,0.8417391777038574,0.8579592108726501,0.2062309556786704,0.24244164931278636,0.24882022684310023,0.042930535071990135,0.20486320761046034,0.14611577594006445,0.18131985731272296,0.13321436672967865,0.12186522282382342
512,500,5,128,0.2,0.2,0.2,0.7592146396636963,0.18280777231589856,0.7105263471603394,0.5873469114303589,0.5534783005714417,0.9472312331199646,0.7102563977241516,0.8298804759979248,0.7525861859321594,0.8439130783081055,0.8428571224212646,0.2056786703601108,0.24237051228654727,0.24714007561436674,0.049984190813695616,0.2057922419460881,0.14117887017666386,0.18620020808561238,0.13172381852551984,0.13244897959183669
512,500,2,256,0.1,0.2,0.1,0.7588576674461365,0.182992715569502,0.6995614171028137,0.6020408272743225,0.5330435037612915,0.9465798139572144,0.7274725437164307,0.8326693177223206,0.7349137663841248,0.8452174067497253,0.8485714197158813,0.21017524622960912,0.23958767180341525,0.24890812854442343,0.050566478158919466,0.1982562492452602,0.13933112172822654,0.1948155098097503,0.1308249527410208,0.1284979591836735
512,500,5,256,0.2,0.1,0.2,0.758679211139679,0.18308509161839487,0.7061403393745422,0.5836734771728516,0.5278260707855225,0.95244300365448,0.70659339427948,0.8107569813728333,0.7504310607910156,0.8613043427467346,0.872653067111969,0.2075061557402278,0.24299875052061637,0.24922570888468812,0.045295334698511394,0.2073191643521314,0.15343010428405898,0.18728429696789536,0.11945916824196598,0.11112969596001665
512,500,2,128,0.2,0.2,0.2,0.7585452198982239,0.1831543318397294,0.7039473652839661,0.6163265109062195,0.5504347681999207,0.9364820718765259,0.7164835333824158,0.8235059976577759,0.7439655065536499,0.8460869789123535,0.8359183669090271,0.20840547091412742,0.23646813827571841,0.24745633270321363,0.05948338974418827,0.20313488709093108,0.1453438834304217,0.19048082639714628,0.13022381852551987,0.13715885047896711
512,500,5,256,0.2,0.1,0.1,0.7582775354385376,0.183292704757251,0.6956140398979187,0.5897959470748901,0.5378261208534241,0.9527687430381775,0.7054945230484009,0.8215139508247375,0.746982753276825,0.8560869693756104,0.8612244725227356,0.2117351492767005,0.24193669304456475,0.24856918714555762,0.045000477458646784,0.20777200821156866,0.1466287836701005,0.18899951694411415,0.12320207939508504,0.11951686797167849
