Wavelet,Density,Segment_Size,Dim,Dropout,Emb_Dropout,Layer_Dropout,Total_Test_Accuracy,Total_Test_Variance,Subject_1_Accuracy,Subject_2_Accuracy,Subject_3_Accuracy,Subject_4_Accuracy,Subject_5_Accuracy,Subject_6_Accuracy,Subject_7_Accuracy,Subject_8_Accuracy,Subject_9_Accuracy,Subject_1_Variance,Subject_2_Variance,Subject_3_Variance,Subject_4_Variance,Subject_5_Variance,Subject_6_Variance,Subject_7_Variance,Subject_8_Variance,Subject_9_Variance
cmor2.0-1.0,10,2,128,0.2,0.1,0.2,0.7261936664581299,0.1988364265729685,0.6565789580345154,0.5963265299797058,0.5534783005714417,0.8902279734611511,0.6523809432983398,0.7645418643951416,0.7038792967796326,0.8834782838821411,0.7938775420188904,0.2254830332409972,0.24072119950020823,0.24714007561436674,0.097722097847192,0.22678004535147392,0.18001761876795605,0.20843322681331744,0.1029444234404537,0.16363598500624738
shan1.0-1.0,10,2,128,0.2,0.2,0.1,0.7203033566474915,0.20146639610153638,0.6399123072624207,0.6073469519615173,0.5613043308258057,0.885993480682373,0.627106249332428,0.7334661483764648,0.7086206674575806,0.8873913288116455,0.7942857146263123,0.23042455370883344,0.23847663473552688,0.24624177693761815,0.10100902927352015,0.2338440070308202,0.19549356359422868,0.20647740784780022,0.09992797731568996,0.16339591836734696
cmor2.0-1.0,10,2,128,0.1,0.2,0.2,0.7182953953742981,0.20234711666339114,0.6377193331718445,0.5840816497802734,0.5556522011756897,0.8941367864608765,0.629304051399231,0.7402390837669373,0.7004310488700867,0.8773913383483887,0.8040816187858582,0.23103339489073563,0.2429302790503957,0.2469028355387523,0.09465617672336046,0.2332804680057427,0.1922852018221933,0.20982740041617118,0.1075758034026465,0.15753436068304877
shan1.0-1.0,10,5,128,0.2,0.2,0.2,0.718027651309967,0.2024639367624696,0.6241227984428406,0.5955101847648621,0.5613043308258057,0.8899022936820984,0.6131868362426758,0.7306773066520691,0.7107758522033691,0.8830434679985046,0.8155102133750916,0.23459352877808554,0.24087780091628488,0.24624177693761815,0.0979762119491984,0.23718874532061343,0.19678798749226206,0.2055735359690844,0.10327769376181473,0.15045331112036647
cmor2.0-1.0,10,5,128,0.2,0.2,0.2,0.7156180739402771,0.203508866145329,0.640350878238678,0.5738775730133057,0.5613043308258057,0.8899022936820984,0.6128205060958862,0.7254980206489563,0.7060344815254211,0.8839130401611328,0.809387743473053,0.23030163127116035,0.244542107455227,0.24624177693761815,0.0979762119491984,0.2372715318869165,0.19915064840240626,0.2075497919143876,0.10261077504725896,0.15427921699291963
shan1.0-1.0,10,2,128,0.1,0.1,0.2,0.7137439250946045,0.20431356045432164,0.6425438523292542,0.5742856860160828,0.5634782910346985,0.8739413619041443,0.6230769157409668,0.7055776715278625,0.6931034326553345,0.9069565534591675,0.8073469400405884,0.22968124807633117,0.2444816326530612,0.2459705103969754,0.11016785323982217,0.23485207100591712,0.2077378136854971,0.21271105826397146,0.08438638941398864,0.15553785922532276
cmor2.0-1.0,10,5,128,0.2,0.1,0.1,0.7103079557418823,0.2057705879295854,0.6236842274665833,0.5657142996788025,0.5473912954330444,0.8745928406715393,0.632600724697113,0.6980080008506775,0.6961206793785095,0.9034782648086548,0.813877522945404,0.23470221606648192,0.24568163265306125,0.24775406427221172,0.10968020880858154,0.23241704571374894,0.21079284455802288,0.21153667508917953,0.08720529300567106,0.15148088296543108
cmor2.0-1.0,10,2,128,0.2,0.2,0.2,0.7082106471061707,0.20664833761144033,0.6280701756477356,0.5783673524856567,0.550000011920929,0.8703582882881165,0.6073260307312012,0.7326693534851074,0.6991379261016846,0.8860870003700256,0.7869387865066528,0.2335980301631271,0.2438585589337776,0.2475,0.11283472503687042,0.23848112815145786,0.1958649862700592,0.2103440844233056,0.10093686200378074,0.16766613910870468
shan1.0-1.0,10,2,128,0.1,0.2,0.2,0.7072288990020752,0.207056176513282,0.6372807025909424,0.545714259147644,0.5478261113166809,0.8856677412986755,0.6175824403762817,0.734661340713501,0.6943965554237366,0.8669565320014954,0.7938775420188904,0.23115400892582333,0.24791020408163264,0.24771266540642722,0.10126038472556739,0.23617437507547404,0.1949340486658942,0.21220998067776456,0.11534291115311911,0.16363598500624738
shan1.0-1.0,10,2,128,0.1,0.1,0.1,0.7055332660675049,0.20775608557488418,0.5964912176132202,0.5881632566452026,0.5591304302215576,0.8739413619041443,0.6029304265975952,0.6928287148475647,0.6909482479095459,0.8960869908332825,0.8130612373352051,0.2406894429055094,0.24222723865056223,0.24650359168241967,0.11016785323982217,0.23940533215258486,0.21281709814129934,0.21353875594530322,0.09311512287334593,0.15199266972094957
cmor2.0-1.0,10,5,128,0.1,0.1,0.1,0.7053102254867554,0.2078477507630801,0.6258772015571594,0.5534693598747253,0.5660869479179382,0.8843647837638855,0.5952380895614624,0.7023904323577881,0.695258617401123,0.9013043642044067,0.7885714173316956,0.23415493228685746,0.24714102457309453,0.2456325141776938,0.1022636844953262,0.24092970521541948,0.20903811050618248,0.21187407104637337,0.08895482041587904,0.1667265306122449
